CountryCode,CountryName,Continent,Region
AFG,Afghanistan,Asia,Asia
ALB,Albania,Europe,Europe
DZA,Algeria,Africa,Africa
AND,Andorra,Europe,Europe
AGO,Angola,Africa,Africa
ATG,Antigua and Barb.,North America,Americas
ARG,Argentina,South America,Americas
ARM,Armenia,Asia,Asia
AUS,Australia,Oceania,Oceania
AUT,Austria,Europe,Europe
AZE,Azerbaijan,Asia,Asia
BHS,Bahamas,North America,Americas
BHR,Bahrain,Asia,Asia
BGD,Bangladesh,Asia,Asia
BRB,Barbados,North America,Americas
BLR,Belarus,Europe,Europe
BEL,Belgium,Europe,Europe
BLZ,Belize,North America,Americas
BEN,Benin,Africa,Africa
BTN,Bhutan,Asia,Asia
BOL,Bolivia,South America,Americas
BIH,Bosnia and Herz.,Europe,Europe
BWA,Botswana,Africa,Africa
BRA,Brazil,South America,Americas
BRN,Brunei,Asia,Asia
BGR,Bulgaria,Europe,Europe
BFA,Burkina Faso,Africa,Africa
BDI,Burundi,Africa,Africa
KHM,Cambodia,Asia,Asia
CMR,Cameroon,Africa,Africa
CAN,Canada,North America,Americas
CAF,Central African Rep.,Africa,Africa
TCD,Chad,Africa,Africa
CHL,Chile,South America,Americas
CHN,China,Asia,Asia
COL,Colombia,South America,Americas
COM,Comoros,Africa,Africa
COG,Congo,Africa,Africa
CRI,Costa Rica,North America,Americas
CIV,Côte d'Ivoire,Africa,Africa
HRV,Croatia,Europe,Europe
CUB,Cuba,North America,Americas
CYP,Cyprus,Asia,Asia
CZE,Czech Rep.,Europe,Europe
COD,Dem. Rep. Congo,Africa,Africa
PRK,Dem. Rep. Korea,Asia,Asia
DNK,Denmark,Europe,Europe
DJI,Djibouti,Africa,Africa
DMA,Dominica,North America,Americas
DOM,Dominican Rep.,North America,Americas
ECU,Ecuador,South America,Americas
EGY,Egypt,Africa,Africa
SLV,El Salvador,North America,Americas
GNQ,Eq. Guinea,Africa,Africa
ERI,Eritrea,Africa,Africa
EST,Estonia,Europe,Europe
ETH,Ethiopia,Africa,Africa
FJI,Fiji,Oceania,Oceania
FIN,Finland,Europe,Europe
FRA,France,Europe,Europe
GAB,Gabon,Africa,Africa
GMB,Gambia,Africa,Africa
GEO,Georgia,Asia,Asia
DEU,Germany,Europe,Europe
GHA,Ghana,Africa,Africa
GRC,Greece,Europe,Europe
GRD,Grenada,North America,Americas
GTM,Guatemala,North America,Americas
GIN,Guinea,Africa,Africa
GNB,Guinea-Bissau,Africa,Africa
GUY,Guyana,South America,Americas
HTI,Haiti,North America,Americas
HND,Honduras,North America,Americas
HUN,Hungary,Europe,Europe
ISL,Iceland,Europe,Europe
IND,India,Asia,Asia
IDN,Indonesia,Asia,Asia
IRN,Iran,Asia,Asia
IRQ,Iraq,Asia,Asia
IRL,Ireland,Europe,Europe
ISR,Israel,Asia,Asia
ITA,Italy,Europe,Europe
JAM,Jamaica,North America,Americas
JPN,Japan,Asia,Asia
JOR,Jordan,Asia,Asia
KAZ,Kazakhstan,Asia,Asia
KEN,Kenya,Africa,Africa
KIR,Kiribati,Oceania,Oceania
KOR,Korea,Asia,Asia
KWT,Kuwait,Asia,Asia
KGZ,Kyrgyzstan,Asia,Asia
LAO,Lao PDR,Asia,Asia
LVA,Latvia,Europe,Europe
LBN,Lebanon,Asia,Asia
LSO,Lesotho,Africa,Africa
LBR,Liberia,Africa,Africa
LBY,Libya,Africa,Africa
LIE,Liechtenstein,Europe,Europe
